id,current_price,market_cap,price_change_percentage_24h,ath,atl,time_stamp
bitcoin,94601.0,1879081506054,-1.19901,108786.0,67.81,05-05-2025  18-31-50
ethereum,1826.59,220506642795,-0.50315,4878.26,0.432979,05-05-2025  18-31-50
tether,1.0,149362795277,-0.00986,1.32,0.572521,05-05-2025  18-31-50
ripple,2.18,127449604402,-1.16455,3.4,0.00268621,05-05-2025  18-31-50
binancecoin,592.04,86370199128,-0.73665,788.84,0.0398177,05-05-2025  18-31-50
solana,146.49,75923838208,0.59853,293.31,0.500801,05-05-2025  18-31-50
usd-coin,1.0,61478990293,0.00365,1.17,0.877647,05-05-2025  18-31-50
dogecoin,0.173484,25864368855,-0.72039,0.731578,8.69e-05,05-05-2025  18-31-50
cardano,0.687876,24794962223,-1.15099,3.09,0.01925275,05-05-2025  18-31-50
tron,0.247982,23539613749,-0.25099,0.431288,0.00180434,05-05-2025  18-31-50
staked-ether,1825.66,16754658427,-0.53302,4829.57,482.9,05-05-2025  18-31-50
wrapped-bitcoin,94564.0,12187538096,-1.06273,108368.0,3139.17,05-05-2025  18-31-50
sui,3.43,11466205292,6.18258,5.35,0.364846,05-05-2025  18-31-50
chainlink,14.08,9249849600,-0.14329,52.7,0.148183,05-05-2025  18-31-50
leo-token,9.09,8394908597,1.29994,10.14,0.799859,05-05-2025  18-31-50
avalanche-2,19.95,8338691783,-1.21952,144.96,2.8,05-05-2025  18-31-50
stellar,0.267819,8284883779,-0.64297,0.875563,0.00047612,05-05-2025  18-31-50
usds,1.0,7915341561,0.00153,1.057,0.948265,05-05-2025  18-31-50
shiba-inu,1.295e-05,7629024093,-0.56307,8.616e-05,5.6366e-11,05-05-2025  18-31-50
wrapped-steth,2183.97,7569126820,-0.95678,7256.02,558.54,05-05-2025  18-31-50
the-open-network,3.03,7531215454,-2.34148,8.25,0.519364,05-05-2025  18-31-50
hedera-hashgraph,0.177469,7499236623,-1.25207,0.569229,0.00986111,05-05-2025  18-31-50
bitcoin-cash,359.61,7145109337,0.19447,3785.82,76.93,05-05-2025  18-31-50
hyperliquid,20.65,6905289720,0.79203,34.96,3.81,05-05-2025  18-31-50
litecoin,89.21,6759992761,3.56012,410.26,1.15,05-05-2025  18-31-50
polkadot,3.98,6062956100,-0.72407,54.98,2.7,05-05-2025  18-31-50
weth,1826.56,5221296625,-0.47026,4799.89,82.1,05-05-2025  18-31-50
binance-bridged-usdt-bnb-smart-chain,1.0,5185112539,-0.02389,1.05,0.942186,05-05-2025  18-31-50
monero,276.6,5105178121,-0.12426,542.33,0.216177,05-05-2025  18-31-50
bitget-token,4.32,5052191511,-0.97699,8.45,0.0142795,05-05-2025  18-31-50
ethena-usde,1.0,4686379477,-0.021,1.032,0.929486,05-05-2025  18-31-50
pi-network,0.592182,4170721539,0.40051,2.99,0.406999,05-05-2025  18-31-50
wrapped-eeth,1947.27,4135844713,-0.74559,4311.81,1505.24,05-05-2025  18-31-50
whitebit,28.58,4118572522,-0.2962,31.28,3.06,05-05-2025  18-31-50
coinbase-wrapped-btc,94575.0,4072192431,-1.10297,108953.0,57439.0,05-05-2025  18-31-50
pepe,8.32e-06,3501567627,1.94535,2.803e-05,5.5142e-08,05-05-2025  18-31-50
dai,0.999742,3288769196,-0.03171,1.22,0.88196,05-05-2025  18-31-50
aptos,5.16,3200631711,0.1386,19.92,3.08,05-05-2025  18-31-50
bittensor,363.43,3162719933,4.30825,757.6,30.83,05-05-2025  18-31-50
susds,1.05,3101693761,0.03308,1.088,0.961716,05-05-2025  18-31-50
okb,51.04,3062532781,-0.26725,73.8,0.580608,05-05-2025  18-31-50
uniswap,5.09,3057931342,0.39716,44.92,1.03,05-05-2025  18-31-50
near,2.39,2890092295,-0.98033,20.44,0.526762,05-05-2025  18-31-50
blackrock-usd-institutional-digital-liquidity-fund,1.0,2878680374,0.0,1.0,1.0,05-05-2025  18-31-50
ondo-finance,0.884655,2796605100,1.45641,2.14,0.082171,05-05-2025  18-31-50
aave,180.29,2723853188,1.86429,661.69,26.02,05-05-2025  18-31-50
gatechain-token,21.44,2635664409,-0.60013,25.94,0.25754,05-05-2025  18-31-50
crypto-com-chain,0.088654,2538006294,0.70357,0.965407,0.0121196,05-05-2025  18-31-50
internet-computer,4.67,2487755470,0.21012,700.65,2.87,05-05-2025  18-31-50
ethereum-classic,16.13,2449177722,-1.63741,167.09,0.615038,05-05-2025  18-31-50
mantle,0.721874,2428883834,-1.78377,1.54,0.307978,05-05-2025  18-31-50
kaspa,0.093099,2427835032,1.09402,0.207411,0.00017105,05-05-2025  18-31-50
tokenize-xchange,29.64,2368098917,-4.36313,50.43,0.111255,05-05-2025  18-31-50
render-token,4.44,2310455647,-1.04706,13.53,0.03665669,05-05-2025  18-31-50
official-trump,11.14,2229790660,-0.31926,73.43,4.29,05-05-2025  18-31-50
vechain,0.02553685,2195850125,-0.87241,0.280991,0.00191713,05-05-2025  18-31-50
usd1-wlfi,0.999963,2127934560,0.04753,1.017,0.989703,05-05-2025  18-31-50
polygon-ecosystem-token,0.234064,2053457060,1.88186,1.29,0.153392,05-05-2025  18-31-50
ethena-staked-usde,1.17,2026820605,-0.03471,1.29,1.012,05-05-2025  18-31-50
lombard-staked-btc,94435.0,1918778567,-0.90815,114576.0,52119.0,05-05-2025  18-31-50
cosmos,4.15,1859071436,-0.51402,44.45,1.16,05-05-2025  18-31-50
fasttoken,4.28,1844005207,-0.14031,4.3,0.398142,05-05-2025  18-31-50
filecoin,2.66,1761658260,0.30242,236.84,2.14,05-05-2025  18-31-50
algorand,0.203774,1750947041,-0.34978,3.56,0.087513,05-05-2025  18-31-50
