id,current_price,market_cap,price_change_percentage_24h,ath,atl,time_stamp
bitcoin,94681.0,1880243319204,-1.22303,108786.0,67.81,05-05-2025
ethereum,1825.1,220340480255,-0.73105,4878.26,0.432979,05-05-2025
tether,1.0,149365017770,-0.00857,1.32,0.572521,05-05-2025
ripple,2.18,127446906885,-1.2276,3.4,0.00268621,05-05-2025
binancecoin,591.99,86363496642,-0.73273,788.84,0.0398177,05-05-2025
solana,146.68,75997622543,0.72992,293.31,0.500801,05-05-2025
usd-coin,1.0,61476050250,0.00525,1.17,0.877647,05-05-2025
dogecoin,0.173563,25861390870,-0.73972,0.731578,8.69e-05,05-05-2025
cardano,0.687667,24765733543,-1.27707,3.09,0.01925275,05-05-2025
tron,0.248176,23566901006,-0.25298,0.431288,0.00180434,05-05-2025
staked-ether,1823.43,16734739627,-0.78657,4829.57,482.9,05-05-2025
wrapped-bitcoin,94570.0,12192628109,-1.17438,108368.0,3139.17,05-05-2025
sui,3.42,11408907991,6.33708,5.35,0.364846,05-05-2025
chainlink,14.09,9257036976,-0.1147,52.7,0.148183,05-05-2025
leo-token,9.09,8395520225,1.34414,10.14,0.799859,05-05-2025
avalanche-2,19.99,8351975195,-0.92472,144.96,2.8,05-05-2025
stellar,0.268195,8289676999,-0.67502,0.875563,0.00047612,05-05-2025
usds,0.999938,7914686460,-0.01195,1.057,0.948265,05-05-2025
shiba-inu,1.294e-05,7622119002,-0.70148,8.616e-05,5.6366e-11,05-05-2025
wrapped-steth,2183.92,7568292811,-1.07111,7256.02,558.54,05-05-2025
the-open-network,3.03,7539702222,-2.10517,8.25,0.519364,05-05-2025
hedera-hashgraph,0.177645,7501538714,-1.17804,0.569229,0.00986111,05-05-2025
bitcoin-cash,359.84,7149009558,0.06186,3785.82,76.93,05-05-2025
hyperliquid,20.66,6902476881,0.75372,34.96,3.81,05-05-2025
litecoin,88.94,6732092073,3.25133,410.26,1.15,05-05-2025
polkadot,3.98,6061005912,-0.90816,54.98,2.7,05-05-2025
weth,1824.15,5218168304,-0.71621,4799.89,82.1,05-05-2025
binance-bridged-usdt-bnb-smart-chain,1.0,5186626411,0.0211,1.05,0.942186,05-05-2025
monero,276.95,5098917432,-0.37147,542.33,0.216177,05-05-2025
bitget-token,4.32,5050984119,-1.08484,8.45,0.0142795,05-05-2025
ethena-usde,1.0,4686170217,-0.01951,1.032,0.929486,05-05-2025
pi-network,0.5917,4168221360,-0.03842,2.99,0.406999,05-05-2025
wrapped-eeth,1943.53,4128127930,-0.96165,4311.81,1505.24,05-05-2025
whitebit,28.59,4120391336,-0.40329,31.28,3.06,05-05-2025
coinbase-wrapped-btc,94652.0,4071531521,-1.19452,108953.0,57439.0,05-05-2025
pepe,8.33e-06,3502640602,1.9887,2.803e-05,5.5142e-08,05-05-2025
dai,0.999681,3288391808,-0.0188,1.22,0.88196,05-05-2025
aptos,5.16,3200102540,0.21596,19.92,3.08,05-05-2025
bittensor,363.85,3160075124,4.49035,757.6,30.83,05-05-2025
susds,1.05,3101680045,0.03047,1.088,0.961716,05-05-2025
okb,51.01,3060481956,-0.37895,73.8,0.580608,05-05-2025
uniswap,5.09,3058018538,0.26055,44.92,1.03,05-05-2025
near,2.39,2891559047,-0.96988,20.44,0.526762,05-05-2025
blackrock-usd-institutional-digital-liquidity-fund,1.0,2878680374,0.0,1.0,1.0,05-05-2025
ondo-finance,0.887351,2803133506,1.77556,2.14,0.082171,05-05-2025
aave,179.96,2719038335,1.36931,661.69,26.02,05-05-2025
gatechain-token,21.43,2634106394,-0.83979,25.94,0.25754,05-05-2025
crypto-com-chain,0.088577,2535944603,0.69238,0.965407,0.0121196,05-05-2025
internet-computer,4.67,2485869146,0.25802,700.65,2.87,05-05-2025
ethereum-classic,16.13,2448951072,-1.77006,167.09,0.615038,05-05-2025
mantle,0.720223,2423837779,-1.9704,1.54,0.307978,05-05-2025
kaspa,0.093138,2422171661,1.01435,0.207411,0.00017105,05-05-2025
tokenize-xchange,29.53,2362643745,-4.5413,50.43,0.111255,05-05-2025
render-token,4.48,2318981253,-0.23091,13.53,0.03665669,05-05-2025
official-trump,11.18,2233726045,0.07662,73.43,4.29,05-05-2025
vechain,0.02553055,2193253977,-0.90192,0.280991,0.00191713,05-05-2025
usd1-wlfi,0.99996,2127950465,-0.00378,1.017,0.989703,05-05-2025
polygon-ecosystem-token,0.233688,2049651974,1.55486,1.29,0.153392,05-05-2025
ethena-staked-usde,1.17,2026880497,-0.01865,1.29,1.012,05-05-2025
lombard-staked-btc,94466.0,1905852926,-1.0053,114576.0,52119.0,05-05-2025
cosmos,4.15,1859251542,-0.51705,44.45,1.16,05-05-2025
fasttoken,4.28,1845039341,-0.11012,4.3,0.398142,05-05-2025
filecoin,2.66,1762014593,0.42988,236.84,2.14,05-05-2025
algorand,0.203866,1750814344,-0.47477,3.56,0.087513,05-05-2025
fetch-ai,0.669186,1740678139,-2.74407,3.45,0.00816959,05-05-2025
ethena,0.291225,1695841810,-0.14919,1.52,0.195078,05-05-2025
sonic-3,0.523207,1661232834,-2.18014,1.029,0.359647,05-05-2025
jupiter-perpetuals-liquidity-provider-token,4.1,1521055938,0.14335,5.03,0.146839,05-05-2025
arbitrum,0.319589,1520224133,0.31134,2.39,0.245747,05-05-2025
celestia,2.44,1518315457,0.57429,20.85,2.08,05-05-2025
first-digital-usd,0.99835,1469732716,0.03197,1.15,0.940377,05-05-2025
solv-btc,94324.0,1389153490,-1.17928,108929.0,49058.0,05-05-2025
kucoin-shares,10.73,1342677597,0.16676,28.83,0.342863,05-05-2025
bonk,1.724e-05,1334784545,5.58476,5.825e-05,8.6142e-08,05-05-2025
maker,1554.91,1296087736,2.26946,6292.31,168.36,05-05-2025
worldcoin-wld,0.95794,1266850409,0.88612,11.74,0.583741,05-05-2025
jupiter-exchange-solana,0.435502,1261769901,2.38757,2.0,0.306358,05-05-2025
flare-networks,0.01985183,1255537178,5.18524,0.150073,0.00827405,05-05-2025
quant-network,85.83,1247630819,0.23859,427.42,0.215773,05-05-2025
nexo,1.23,1229640315,-3.62994,4.07,0.04515276,05-05-2025
binance-staked-sol,153.93,1195649378,0.7531,297.96,100.21,05-05-2025
virtual-protocol,1.81,1175455576,9.40417,5.07,0.00748604,05-05-2025
blockstack,0.77214,1175230885,-2.07124,3.86,0.04559639,05-05-2025
fartcoin,1.12,1123880789,3.31456,2.48,0.02002855,05-05-2025
optimism,0.678367,1123682190,-0.39297,4.84,0.402159,05-05-2025
binance-peg-weth,1826.43,1104348320,-0.59648,4098.26,1394.32,05-05-2025
xdce-crowd-sale,0.070084,1100757367,-4.77143,0.192754,0.00039532,05-05-2025
eos,0.710224,1076367320,-0.74807,22.71,0.402746,05-05-2025
usdt0,0.999947,1052683646,-0.02123,1.052,0.975737,05-05-2025
sei-network,0.205834,1050961461,-0.55493,1.14,0.095364,05-05-2025
kelp-dao-restaked-eth,1899.39,1044931198,-0.78404,4216.2,1459.69,05-05-2025
immutable-x,0.569451,1034582172,1.85036,9.52,0.353994,05-05-2025
story-2,3.78,1021520686,3.73153,7.31,1.0,05-05-2025
injective-protocol,9.61,938530982,0.43368,52.62,0.657401,05-05-2025
curve-dao-token,0.692919,928664293,-0.53774,15.37,0.180354,05-05-2025
paypal-usd,0.999642,913581838,0.00698,1.021,0.959426,05-05-2025
binance-bridged-usdc-bnb-smart-chain,1.0,899534309,0.04724,1.031,0.942892,05-05-2025
the-graph,0.091268,871559991,-0.27444,2.84,0.052051,05-05-2025
wbnb,592.02,865335483,-0.73006,789.32,23.6,05-05-2025
rocket-pool-eth,2062.36,849142812,-1.00533,4814.31,887.26,05-05-2025
dexe,14.4,822069450,-0.64006,32.38,0.671563,05-05-2025
tether-gold,3274.15,806955353,0.64737,3530.16,1447.84,05-05-2025
polygon-bridged-usdt-polygon,1.0,804594631,0.01322,1.027,0.945933,05-05-2025
raydium,2.74,794675927,2.17004,16.83,0.134391,05-05-2025
pax-gold,3278.62,780644437,0.79357,3518.57,1399.64,05-05-2025
iota,0.20683,777847402,1.68132,5.25,0.081637,05-05-2025
coredaoorg,0.766985,770093511,12.34636,6.14,0.334237,05-05-2025
jasmycoin,0.01587889,768844255,-0.9232,4.79,0.00275026,05-05-2025
msol,189.14,767675906,0.81952,363.77,8.93,05-05-2025
walrus-2,0.606249,757076440,11.03836,0.68517,0.360808,05-05-2025
arbitrum-bridged-wbtc-arbitrum-one,94753.0,754236263,-1.19039,108397.0,49594.0,05-05-2025
bitcoin-cash-sv,37.83,751219689,2.18195,489.75,21.43,05-05-2025
floki,7.7e-05,744103805,-0.06452,0.00034495,8.428e-08,05-05-2025
jupiter-staked-sol,162.22,743115747,0.89253,309.67,105.7,05-05-2025
clbtc,95002.0,733722172,-1.30203,104078.0,51493.0,05-05-2025
lido-dao,0.815982,732648435,-0.50467,7.3,0.40615,05-05-2025
solv-protocol-solvbtc-bbn,93616.0,723763418,-1.57283,117077.0,11402.13,05-05-2025
bittorrent,7.1002e-07,705101593,-3.10969,3.43e-06,3.65368e-07,05-05-2025
theta-token,0.702888,702597026,0.09532,15.72,0.04039979,05-05-2025
helium,3.84,698535798,1.54991,54.88,0.113248,05-05-2025
pudgy-penguins,0.01111903,697692709,10.82744,0.068447,0.00371517,05-05-2025
gala,0.01568855,694731287,1.92694,0.824837,0.00013475,05-05-2025
mantle-staked-ether,1941.24,689498934,-0.7907,4729.53,1485.62,05-05-2025
solayer,3.25,683418914,0.3201,3.39,0.599884,05-05-2025
the-sandbox,0.278595,681402288,-0.65161,8.4,0.02897764,05-05-2025
kaia,0.112431,657716847,-2.82115,0.406698,0.090737,05-05-2025
usual-usd,0.998426,648061097,0.05469,1.33,0.962885,05-05-2025
usdx-money-usdx,1.001,627361290,0.20896,1.057,0.944423,05-05-2025
pancakeswap-token,1.95,621096589,-0.91009,43.96,0.194441,05-05-2025
ondo-us-dollar-yield,1.11,597367085,0.22762,1.26,0.934184,05-05-2025
ethereum-name-service,17.97,595946727,-5.8914,83.4,6.69,05-05-2025
flow,0.374456,591614804,-0.11717,42.4,0.303987,05-05-2025
renzo-restaked-eth,1909.32,582992993,-0.80953,4207.05,1454.43,05-05-2025
zcash,36.16,580101036,3.87098,3191.93,16.08,05-05-2025
tezos,0.540208,562820255,-2.34377,9.12,0.350476,05-05-2025
chain-2,0.01673438,560844384,-2.93819,0.184139,0.0007055,05-05-2025
based-brett,0.05661,560804632,-0.59401,0.234204,0.00084753,05-05-2025
dogwifcoin,0.558836,557900344,-0.43694,4.83,0.00155464,05-05-2025
decentraland,0.297011,554714477,-0.21291,5.85,0.00923681,05-05-2025
sonic-bridged-usdc-e-sonic,1.0,553285609,0.01872,1.046,0.949963,05-05-2025
pendle,3.26,528415362,-0.27596,7.5,0.03377729,05-05-2025
jito-governance-token,1.62,524888996,0.57063,6.01,1.43,05-05-2025
aerodrome-finance,0.632211,511081494,-1.0733,2.32,1.861e-05,05-05-2025
telcoin,0.00551142,506247176,-3.68136,0.064483,6.474e-05,05-05-2025
pyth-network,0.138914,503369838,-3.01278,1.2,0.10565,05-05-2025
reserve-rights-token,0.00881951,501846147,0.68139,0.117424,0.00121354,05-05-2025
spx6900,0.533507,496413683,2.76543,1.72,0.00131808,05-05-2025
ubtc,97234.0,495800004,-0.0461,192764.0,74362.0,05-05-2025
true-usd,0.998494,494767509,0.00653,1.62,0.88355,05-05-2025
stakewise-v3-oseth,1907.36,484588104,-0.71044,4228.59,1459.73,05-05-2025
deep,0.192978,481866997,4.33116,0.341085,0.01073218,05-05-2025
kava,0.442584,479021774,6.05855,9.12,0.247359,05-05-2025
bitcoin-avalanche-bridged-btc-b,94528.0,475701513,-1.13183,108820.0,7806.11,05-05-2025
arweave,7.26,475347622,-0.65033,89.24,0.298788,05-05-2025
beldex,0.065451,467838371,-1.94958,0.450785,0.00027519,05-05-2025
bridged-usdc-polygon-pos-bridge,1.0,465784742,0.00993,1.028,0.975633,05-05-2025
ousg,110.92,461471170,0.0,110.92,95.09,05-05-2025
dydx-chain,0.593826,459689354,-1.03116,4.52,0.495631,05-05-2025
aioz-network,0.392464,459678825,-3.40158,2.65,0.01099588,05-05-2025
pumpbtc,92565.0,454967455,-1.22053,107240.0,48890.0,05-05-2025
elrond-erd-2,16.0,451325854,1.9195,545.64,6.51,05-05-2025
binance-peg-dogecoin,0.173647,445128044,-0.6241,0.480585,0.04955727,05-05-2025
thorchain,1.26,444424412,-4.23878,20.87,0.00851264,05-05-2025
tbtc,94270.0,439589218,-1.06599,108501.0,10104.3,05-05-2025
ecash,2.164e-05,429789344,1.54419,0.00038001,1.604e-05,05-05-2025
movement,0.168793,421688234,0.38259,1.45,0.166906,05-05-2025
starknet,0.135626,421171506,2.77685,4.41,0.11,05-05-2025
apenft,4.19053e-07,414977152,0.26084,7.53e-06,2.98737e-07,05-05-2025
l2-standard-bridged-weth-base,1824.55,414269688,-0.69047,4096.05,1394.17,05-05-2025
