id,current_price,market_cap,price_change_percentage_24h,high_24h,low_24h,ath,atl,time_stamp
bitcoin,94289.0,1873037554017,-1.28915,95742.0,93806.0,108786.0,67.81,05-05-2025 22-57-14
ethereum,1803.57,217806764912,-1.52832,1839.29,1787.46,4878.26,0.432979,05-05-2025 22-57-14
tether,1.0,149367879031,-0.00162,1.0,0.999989,1.32,0.572521,05-05-2025 22-57-14
ripple,2.15,125639041355,-2.00077,2.2,2.14,3.4,0.00268621,05-05-2025 22-57-14
binancecoin,595.12,86820343531,0.31094,595.12,584.65,788.84,0.0398177,05-05-2025 22-57-14
solana,144.55,74932892877,-0.81667,147.48,143.03,293.31,0.500801,05-05-2025 22-57-14
usd-coin,0.999945,61479108259,-0.00225,1.0,0.999895,1.17,0.877647,05-05-2025 22-57-14
dogecoin,0.170709,25454568001,-1.85292,0.174375,0.16935,0.731578,8.69e-05,05-05-2025 22-57-14
cardano,0.66481,23978345841,-3.6517,0.692735,0.662505,3.09,0.01925275,05-05-2025 22-57-14
tron,0.24843,23584101256,0.45025,0.250387,0.246285,0.431288,0.00180434,05-05-2025 22-57-14
staked-ether,1802.67,16550077405,-1.57046,1837.76,1787.4,4829.57,482.9,05-05-2025 22-57-14
wrapped-bitcoin,94267.0,12145530666,-1.19587,95720.0,93731.0,108368.0,3139.17,05-05-2025 22-57-14
sui,3.43,11459998055,5.56588,3.47,3.22,5.35,0.364846,05-05-2025 22-57-14
chainlink,13.75,9045406226,-2.16754,14.17,13.7,52.7,0.148183,05-05-2025 22-57-14
avalanche-2,19.53,8165543842,-3.12003,20.2,19.44,144.96,2.8,05-05-2025 22-57-14
stellar,0.262937,8134543475,-1.9329,0.270369,0.261846,0.875563,0.00047612,05-05-2025 22-57-14
leo-token,8.61,7950594164,-4.66318,9.13,8.6,10.14,0.799859,05-05-2025 22-57-14
usds,0.999942,7913797125,-0.01435,1.0,0.999859,1.057,0.948265,05-05-2025 22-57-14
wrapped-steth,2168.88,7520358721,-1.30651,2206.94,2152.01,7256.02,558.54,05-05-2025 22-57-14
shiba-inu,1.265e-05,7458645915,-2.21034,1.295e-05,1.263e-05,8.616e-05,5.6366e-11,05-05-2025 22-57-14
the-open-network,2.98,7409263978,-3.95308,3.1,2.98,8.25,0.519364,05-05-2025 22-57-14
hedera-hashgraph,0.173295,7332211705,-3.0695,0.178821,0.17328,0.569229,0.00986111,05-05-2025 22-57-14
bitcoin-cash,353.73,7029286755,-1.24813,360.56,352.08,3785.82,76.93,05-05-2025 22-57-14
hyperliquid,20.09,6722152283,-4.04513,20.95,19.8,34.96,3.81,05-05-2025 22-57-14
litecoin,88.32,6704486624,2.50834,89.33,84.89,410.26,1.15,05-05-2025 22-57-14
polkadot,3.92,5969308691,-1.30233,4.01,3.91,54.98,2.7,05-05-2025 22-57-14
binance-bridged-usdt-bnb-smart-chain,1.0,5185383131,-0.0158,1.002,0.995492,1.05,0.942186,05-05-2025 22-57-14
weth,1803.74,5169835154,-1.5764,1840.01,1788.03,4799.89,82.1,05-05-2025 22-57-14
monero,276.19,5100003864,2.08617,282.32,269.0,542.33,0.216177,05-05-2025 22-57-14
bitget-token,4.3,5028955776,-0.69907,4.36,4.29,8.45,0.0142795,05-05-2025 22-57-14
ethena-usde,1.0,4689433255,-0.03912,1.001,0.99982,1.032,0.929486,05-05-2025 22-57-14
pi-network,0.591045,4164518453,-0.37229,0.595555,0.587029,2.99,0.406999,05-05-2025 22-57-14
coinbase-wrapped-btc,94264.0,4109909118,-1.32018,95758.0,93759.0,108953.0,57439.0,05-05-2025 22-57-14
whitebit,28.49,4108320791,-0.32768,28.62,28.44,31.28,3.06,05-05-2025 22-57-14
wrapped-eeth,1923.75,4079222055,-1.36675,1958.51,1908.26,4311.81,1505.24,05-05-2025 22-57-14
pepe,7.96e-06,3348619821,-3.32883,8.33e-06,7.97e-06,2.803e-05,5.5142e-08,05-05-2025 22-57-14
dai,0.999897,3290863101,0.02153,1.0,0.999416,1.22,0.88196,05-05-2025 22-57-14
aptos,5.08,3155799027,-1.50288,5.2,5.07,19.92,3.08,05-05-2025 22-57-14
bittensor,359.15,3139957459,2.51125,365.85,340.94,757.6,30.83,05-05-2025 22-57-14
susds,1.05,3099433761,0.0081,1.05,1.05,1.088,0.961716,05-05-2025 22-57-14
okb,50.91,3054516609,-1.28046,51.63,50.88,73.8,0.580608,05-05-2025 22-57-14
uniswap,4.99,2995390856,-2.06882,5.1,4.97,44.92,1.03,05-05-2025 22-57-14
blackrock-usd-institutional-digital-liquidity-fund,1.0,2878680374,0.0,1.0,1.0,1.0,1.0,05-05-2025 22-57-14
near,2.32,2814241434,-2.48576,2.39,2.31,20.44,0.526762,05-05-2025 22-57-14
ondo-finance,0.863232,2730501873,-0.59524,0.888367,0.854437,2.14,0.082171,05-05-2025 22-57-14
aave,175.87,2661153311,0.52883,180.45,170.49,661.69,26.02,05-05-2025 22-57-14
gatechain-token,21.32,2623030185,-1.05376,21.55,21.23,25.94,0.25754,05-05-2025 22-57-14
crypto-com-chain,0.087548,2507772074,-1.39086,0.09029,0.087076,0.965407,0.0121196,05-05-2025 22-57-14
internet-computer,4.6,2453527425,-1.52031,4.67,4.57,700.65,2.87,05-05-2025 22-57-14
ethereum-classic,15.97,2426153451,-2.16848,16.34,15.92,167.09,0.615038,05-05-2025 22-57-14
mantle,0.711446,2393517949,-2.97608,0.734033,0.711398,1.54,0.307978,05-05-2025 22-57-14
