id,current_price,market_cap,price_change_percentage_24h,ath,atl,time_stamp
snek,0.00322962,240498056,-5.49842,0.00895508,0.00013847,05-05-2025  18-31-42
mantra-dao,0.39448,378883463,-5.3857,8.99,0.01726188,05-05-2025  18-31-42
ethereum-name-service,18.02,597570739,-5.37665,83.4,6.69,05-05-2025  18-31-42
xdce-crowd-sale,0.070019,1099576565,-4.85114,0.192754,0.00039532,05-05-2025  18-31-42
grass,1.42,391965530,-4.45395,3.89,0.654959,05-05-2025  18-31-42
tokenize-xchange,29.64,2368098917,-4.36313,50.43,0.111255,05-05-2025  18-31-42
thorchain,1.26,443177822,-4.11969,20.87,0.00851264,05-05-2025  18-31-42
chain-2,0.01670929,560157503,-3.97632,0.184139,0.0007055,05-05-2025  18-31-42
aioz-network,0.392526,460002412,-3.45264,2.65,0.01099588,05-05-2025  18-31-42
nexo,1.23,1233373329,-3.39767,4.07,0.04515276,05-05-2025  18-31-42
