id,current_price,market_cap,price_change_percentage_24h,ath,atl,time_stamp
turbo,0.00546809,377302607,13.68137,0.01431669,6.518e-05,05-05-2025  18-31-50
ai16z,0.27866,306445922,12.97032,2.47,0.010189,05-05-2025  18-31-50
coredaoorg,0.767396,767709914,12.47483,6.14,0.334237,05-05-2025  18-31-50
virtual-protocol,1.83,1192431265,10.70285,5.07,0.00748604,05-05-2025  18-31-50
walrus-2,0.605975,757471572,9.82723,0.68517,0.360808,05-05-2025  18-31-50
pudgy-penguins,0.0109906,691481750,9.51871,0.068447,0.00371517,05-05-2025  18-31-50
akash-network,1.56,392807746,8.83,8.07,0.164994,05-05-2025  18-31-50
sui,3.43,11466205292,6.18258,5.35,0.364846,05-05-2025  18-31-50
bonk,1.728e-05,1338146825,5.91284,5.825e-05,8.6142e-08,05-05-2025  18-31-50
popcat,0.381337,374095116,5.55425,2.05,0.00379728,05-05-2025  18-31-50
